2024-02-12 14:33:58.003 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 4.0
2024-02-12 14:33:58.003 [main] INFO  org.example.Calculator - [SQ ROOT] - 1.0
2024-02-12 14:33:58.003 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.0
2024-02-12 14:33:58.003 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-12 14:33:58.003 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-12 14:33:58.003 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-12 14:33:58.004 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-12 14:33:58.004 [main] INFO  org.example.Calculator - [SQ ROOT] - 3.0
2024-02-12 14:33:58.004 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2024-02-12 14:33:58.004 [main] INFO  org.example.Calculator - [SQ ROOT] - 4.0
2024-02-12 14:33:58.004 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 2.0
2024-02-12 14:33:58.005 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-12 14:33:58.005 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-12 14:33:58.005 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-12 14:33:58.005 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-12 14:33:58.006 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2024-02-12 14:33:58.006 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2024-02-12 14:33:58.011 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-12 14:33:58.012 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-12 14:33:58.012 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 3.0
2024-02-12 14:33:58.012 [main] INFO  org.example.Calculator - [RESULT - POWER] - 27.0
2024-02-12 14:33:58.012 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
